qid,video_id,youtube_url,duration,question_type,capability,question,question_prompt,A,B,C,D,E
0083-7,Z-x3kXiyOFc,https://www.youtube.com/shorts/Z-x3kXiyOFc,43.97,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Why does the daughter enter the room several times?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To announce the pet dog.,To show excitement about the pet.,To emphasize cultural differences.,To check if her mother is two-faced about the dog.,None of the above
0099-7,aUDYWYqtAR4,https://www.youtube.com/shorts/aUDYWYqtAR4,59.97,Multiple-choice Question with a Single Correct Answer,Event Counting,How many zoomed-in close-ups are there in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",2,4,3,1,None of the above
0101-7,FdkXmy42Qv8,https://www.youtube.com/shorts/FdkXmy42Qv8,24.04,Multiple-choice Question with a Single Correct Answer,Event Localization,In which sequence of location does the man teleport in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","Bookshelf, Couch, Blanket, Cardboard Box","Bookshelf, Couch, Cardboard Box, Blanket","Bookshelf, Couch, Cardboard Box, Door","Couch, Bookshelf, Cardboard Box, Blanket",None of the above
0113-7,2uuLeoxlZOo,https://www.youtube.com/shorts/2uuLeoxlZOo,59.54,Multiple-choice Question with a Single Correct Answer,Event Counting,How many buildings are demolished in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two,Three,Four,One,None of the above
0117-7,uupXcgeP0-w,https://www.youtube.com/shorts/uupXcgeP0-w,22.04,Multiple-choice Question with a Single Correct Answer,Element Counting,How many toy cars are shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Four,Two,One,None of the above
0118-7,XlROzogZpVM,https://www.youtube.com/shorts/XlROzogZpVM,9.15,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,What action did the person take to make the bottle fall?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Pushed it with their hand.,Threw it down.,Kicked it.,Placed it on a slope and let go.,None of the above
0127-7,NmqIqJsdIuk,https://www.youtube.com/shorts/NmqIqJsdIuk,11.56,Multiple-choice Question with a Single Correct Answer,Element Counting,How many watches are shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Six,Four,Three,Five,None of the above
0129-7,7t4cNOpTuCY,https://www.youtube.com/shorts/7t4cNOpTuCY,30.81,Multiple-choice Question with a Single Correct Answer,Element Counting,How many men appear in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,One,Two,None,None of the above
0133-7,u2HvKEGq3Ik,https://youtube.com/shorts/u2HvKEGq3Ik,60.05,Multiple-choice Question with a Single Correct Answer,Event Localization,What does the final scene depict?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A dance performance.,A juggling act.,A physics demonstration.,Three men jumping through a hula hoop.,None of the above
0142-7,rCW1aGpFrJg,https://youtube.com/shorts/rCW1aGpFrJg,58.82,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,What is the purpose of placing a small piece of white tape on the handrail?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To decorate the handrail.,To repair a crack.,To mark a point for tracking movement.,To attract dust on the armrests.,None of the above
0146-7,eU5I-p1HcUs,https://youtube.com/shorts/eU5I-p1HcUs,24.45,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times does the car's color change in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three times,Four times,Five times,Two times,None of the above
0151-7,lfitOyblkDQ,https://youtube.com/shorts/lfitOyblkDQ,59.71,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the person in the video wearing while holding a potato?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Blue shirt,Red shirt,Light pink hoodie and blue jeans,Black cap,None of the above
0152-7,4ocqfNvvI_w,https://youtube.com/shorts/4ocqfNvvI_w,32.81,Multiple-choice Question with a Single Correct Answer,Element Attributes,What tool is used to fix the pages in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Clamp,Elastic bands,Rubber band,Bendable retainer,None of the above
0154-7,PH3yeSEgiGE,https://youtube.com/shorts/PH3yeSEgiGE,30.12,Multiple-choice Question with a Single Correct Answer,Positional Relationship,With which hand does the man hand the white cutting board to the child?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Neither hand,Left hand,Right hand,Both hands,None of the above
0162-7,mLbuK7IU7_Y,https://www.youtube.com/shorts/mLbuK7IU7_Y,17.15,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times does the golfer successfully hit the target in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",0,1,10,5,None of the above
0167-7,C2JNR1EVPyM,https://www.youtube.com/shorts/C2JNR1EVPyM,9.64,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why is the woman surprised in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The pencil was bent.,The pencil remains unbroken.,The pencil is broken.,The man performs a magic trick.,None of the above
0169-7,fk5kAJj5io0,https://www.youtube.com/shorts/fk5kAJj5io0,33.44,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times does the woman pour juice into the mold in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Twice,Once,Three times,Four times,None of the above
0179-7,boEKlG35qHM,https://youtube.com/shorts/boEKlG35qHM,15.62,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times does the person cut the stem?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Twice,5 times,Once,10 times,None of the above
0198-7,j3cE7hoF5aI,https://www.youtube.com/shorts/j3cE7hoF5aI,20.99,Multiple-choice Question with a Single Correct Answer,Element Counting,How many photos labeled 'old me' are in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",12,11,10,13,None of the above
0217-7,C9yerI1NK7M,https://www.youtube.com/shorts/C9yerI1NK7M,15,Multiple-choice Question with a Single Correct Answer,Event Duration & Speed Attribute,How long did the time lapse of the capillary action demonstration last in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",2 hours,1 hour and 15 minutes,3 hours,45 minutes,None of the above
0242-7,tyz-WC0YVco,https://www.youtube.com/shorts/tyz-WC0YVco,60.05,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,What made the two orange cats jump away in the kitchen scene?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A toy snake,A loud noise,A sudden light,A party blower,None of the above
0248-7,jfE_el65Sv0,https://youtube.com/shorts/jfE_el65Sv0,12.16,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,What is the person in the foreground doing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Applying makeup,Painting a image,Taking a shower,Sleeping,None of the above
0251-7,#NAME?,https://youtube.com/shorts/-HAFFvsDCr4,,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why does the ball fall off the disc at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The disc stops spinning.,"A girl throws the ball, and inertia carries it to the edge.",The straw figures have moved and pushed it off.,The disc is tilted.,None of the above
0256-7,uPIpFgh_DPU,https://www.youtube.com/shorts/uPIpFgh_DPU,15.35,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times does the ping-pong ball bounce on the ground before entering the cup?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",13,10,19,17,None of the above
0259-7,rVfKtPLVaLw,https://www.youtube.com/shorts/rVfKtPLVaLw,12.52,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which hand did the man use to throw away his hat?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both hands,Neither hand,Left hand,Right hand,None of the above
0266-7,9yC-paTJvkE,https://www.youtube.com/shorts/9yC-paTJvkE,19.03,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which thumb is the yellow rubber band fully looped around?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Neither thumb,Both thumbs,Right thumb,Left thumb,None of the above
0267-7,Drp2PBktp7U,https://www.youtube.com/shorts/Drp2PBktp7U,16.04,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What is the first person in the video doing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Laying down on a basketball court.,Sitting on the ground.,Jumping in the air.,Running across the court.,None of the above
0273-7,zn3MNXMIdDk,https://www.youtube.com/shorts/zn3MNXMIdDk,11.82,Multiple-choice Question with a Single Correct Answer,Element Attributes,What color is facing up on the solved Rubik's Cube?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Yellow,White,Blue,Green,None of the above
0274-7,GYTGrhKbo0g,https://www.youtube.com/shorts/GYTGrhKbo0g,22.04,Multiple-choice Question with a Single Correct Answer,Element Counting,How many people are in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Six,Eight,Seven,Five,None of the above
0276-7,PZad6gF_4Kk,https://www.youtube.com/shorts/PZad6gF_4Kk,14.98,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),What techniques are used to create the illusion of the pen passing under the cube?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Only skillful drawing and perspective,Video editing effects and skillful drawing,None of the above,Only video editing effects,None of the above
0278-7,JsAcQsidyIA,https://www.youtube.com/shorts/JsAcQsidyIA,46.23,Multiple-choice Question with a Single Correct Answer,Element Attributes,What color is the writing on the paper in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Orange,Blue,Red,Green,None of the above
0288-7,CiUsdzLLbuE,https://www.youtube.com/shorts/CiUsdzLLbuE,60.05,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Which knife is not easy to use in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The one with a wooden handle.,The one with the darker black part.,The one used at the end.,The one used to cut through the large bone.,None of the above
0291-7,#NAME?,https://www.youtube.com/shorts/-M7VdrQpWps,,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What caused the rotational movement of the metal rod?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The interaction between the electric field and the metal rod.,The electromagnetic force generated by the Tesla coil.,A human plucking it and electric field forces.,The electric current flowing through it,None of the above
0292-7,Kv7s88uX0ek,https://www.youtube.com/shorts/Kv7s88uX0ek,10.65,Multiple-choice Question with a Single Correct Answer,Element Counting,How many vehicles are behind the bus?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",One,None,Three,Two,None of the above
0295-7,uXbIuOImCmM,https://www.youtube.com/shorts/uXbIuOImCmM,26.01,Multiple-choice Question with a Single Correct Answer,Event Counting,How many methods did the person with the yellow bag try?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Two,Four,One,None of the above
0296-7,uAzw77AjDyc,https://www.youtube.com/shorts/uAzw77AjDyc,15.06,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why doesn't the man catch the blue pants on his first attempt?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He is not paying attention.,He is distracted by the children playing and loses focus.,They are not real pants.,They are hanging diagonally.,None of the above
0303-7,c1gl0Qahgdw,https://www.youtube.com/shorts/c1gl0Qahgdw,14.76,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,How does the man finally stop cycling?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By riding into a wall.,By dismounting and walking away.,By jumping off his bike and crashing into a cushion.,By slowing down and stepping off.,None of the above
0304-7,bc-OoJrrMuk,https://www.youtube.com/shorts/bc-OoJrrMuk,15.72,Multiple-choice Question with a Single Correct Answer,Element Counting,How many layers of paper does the person initially write on?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two,Three,Four,One,None of the above
0308-7,R0f1qMFBemA,https://www.youtube.com/shorts/R0f1qMFBemA,60.08,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,What is the first military aircraft doing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Taking off from the aircraft carrier.,Performing aerial maneuvers.,Attempting to land on the aircraft carrier.,Refueling mid-air.,None of the above
0313-7,0pWDMjpDKKQ,https://www.youtube.com/shorts/0pWDMjpDKKQ,19.04,Multiple-choice Question with a Single Correct Answer,Element Counting,How many compartments do the products occupy on the shelf at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",8,9,11,10,None of the above
0319-7,NqMmfmsclrE,https://www.youtube.com/shorts/NqMmfmsclrE,8.75,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where does the ball exit at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Path A,Path B,Path D,Path C,None of the above
0320-7,1edFyMQdMHA,https://www.youtube.com/shorts/1edFyMQdMHA,18.07,Multiple-choice Question with a Single Correct Answer,Event Localization,How does the last person jump?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Onto a tire,Fly over the railing,Over a low wall,Over a fence using parkour,None of the above
0321-7,shh15L-O8KE,https://www.youtube.com/shorts/shh15L-O8KE,15.14,Multiple-choice Question with a Single Correct Answer,Plot Attribute,What are the people in the group doing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Filming a video with hand gestures,Playing a game,Taking a picture together,Dancing,None of the above
0325-7,gmMnqrmYNFU,https://www.youtube.com/shorts/gmMnqrmYNFU,36.41,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times did the rider flip and jump in the air while crossing obstacles?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Seven times,Eight times,Ten times,Three times,None of the above
0334-7,VoyvvpcrUgo,https://www.youtube.com/shorts/VoyvvpcrUgo,14.98,Multiple-choice Question with a Single Correct Answer,Event Localization,Which scene in the video is not real?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Water bottle pouring a waterfall,Key fitting into the archway,Hanger holding up the bridge,Pencil erasing the road,None of the above
0340-7,XK7kH7pxTcE,https://www.youtube.com/shorts/XK7kH7pxTcE,59.37,Multiple-choice Question with a Single Correct Answer,Element Counting,How many drainage channels are visible in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Four,Two,Three,Five,None of the above
0357-7,ZQQ6XGuLtyU,https://www.youtube.com/shorts/ZQQ6XGuLtyU,44.44,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What is the person who opens the third hidden item wearing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A black jacket,A white texuture T-shirt,A white T-shirt,A pink t-shirt with green text,None of the above
0358-7,vln9tIS2yWg,https://www.youtube.com/shorts/vln9tIS2yWg,19.97,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why didn't the woman in white fall on the trampoline?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The man behind her didn't push her.,She jumped off herself.,She was scared of the trampoline.,She was too far from the edge.,None of the above
0368-7,XeUbzTntoW0,https://www.youtube.com/shorts/XeUbzTntoW0,59.01,Multiple-choice Question with a Single Correct Answer,Event Counting,How many scenarios did the man show between the adult and the toddler?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Ten,Twelve,Six,Eight,None of the above
0370-7,IuGYdIRjKlI,https://www.youtube.com/shorts/IuGYdIRjKlI,16.88,Multiple-choice Question with a Single Correct Answer,Element Counting,How many girls are holding swords at the beginning of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Two,Five,Four,None of the above
0372-7,kFAs3nZoKps,https://www.youtube.com/shorts/kFAs3nZoKps,18.09,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,What happens at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The girl misses the basket entirely.,The girl throws the ball from a distance.,The girl successfully dunks the basketball.,The girl pretends to dunk by hanging on the basket.,None of the above
0374-7,DdJG14Fc4Tw,https://www.youtube.com/shorts/DdJG14Fc4Tw,48.45,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What was used to perform the magic trick in the first part of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A balloon and a string,A balloon and a coin,A red balloon only,A balloon and an extra knot,None of the above
0377-7,Jh-E3fZYRJ4,https://www.youtube.com/shorts/Jh-E3fZYRJ4,33.34,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),Whose hand is on the woman's shoulder in the second part of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The woman herself.,The person sitting next to her.,A person standing far away.,The man behind her.,None of the above
0410-7,ZQQ6XGuLtyU,https://youtube.com/shorts/ZQQ6XGuLtyU,44.44,Multiple-choice Question with a Single Correct Answer,Event Localization,What happens after the sixth cotton candy dissolves?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A banana appears.,A stack of money appears.,A phone is revealed.,Nothing is found.,None of the above
0416-7,b7h58LOBMcE,https://youtube.com/shorts/b7h58LOBMcE,26.77,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why was the man performing the trick surprised?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The egg reappeared in unexpected places.,The table moved.,The cup changed color.,The ball he placed under the cup disappeared.,None of the above
0417-7,KwKJ6gtOGpQ,https://youtube.com/shorts/KwKJ6gtOGpQ,6.62,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why is the person on the left trying hard not to laugh?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It's not funny,His discontent,The seriousness of the occasion,He's scared.,None of the above
0420-7,CsIEwEA0fQs,https://youtube.com/shorts/CsIEwEA0fQs,15.04,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Why did the cat win the 'which hand' game?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It chose the right hand.,It chose both hands.,It didn't choose any hand.,It chose the left hand.,None of the above
0427-7,c0YNnrHBARc,https://youtube.com/shorts/c0YNnrHBARc,28.99,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),How did the man create the illusion of taking out a whole watermelon?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By using a mirror to reflect the whole watermelon.,By using a clever trick with a hollowed rind.,By using a special knife to cut seamlessly.,Use mirror reflection and video editing techniques.,None of the above
0430-7,ZGcot5Kgock,https://youtube.com/shorts/ZGcot5Kgock,42.26,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),What was the actual cause of the phone's damage in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Dropping the phone.,Overcharging with a hand-crank charger.,Video editing effects.,Water damage.,None of the above
0432-7,YRgXg-FY49o,https://www.youtube.com/shorts/YRgXg-FY49o,16.6,Multiple-choice Question with a Single Correct Answer,Event Localization,Where do the last few targets come from?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The person next to the shooter throwing orange clay targets.,The shell that flew out of the ejection hatch of the gun,Random objects thrown by the woman.,Black object coming from the sky.,None of the above
0435-7,niZZ5bP5Zvs,https://www.youtube.com/shorts/niZZ5bP5Zvs,10.97,Multiple-choice Question with a Single Correct Answer,Event Localization,Which swing of the man's sword hit the target made of bundled straw mats?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Fourth swing,Third swing,First swing,Second swing,None of the above
0439-7,L4pEorJZ1a0,https://www.youtube.com/shorts/L4pEorJZ1a0,29.53,Multiple-choice Question with a Single Correct Answer,Element Attributes,What does the man light in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A small torch,A pile of thin candles,A piece of paper,A stack of matches,None of the above
0441-7,3Ts9BX6AKuU,https://www.youtube.com/shorts/3Ts9BX6AKuU,12.2,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,What is the state of the muscular man's legs during the run?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both legs moving in a straight line,"Left leg in spot jogging, right calf bent back",Left and right legs alternate in their movement,High knee lifts with a forward thrust,None of the above
0452-7,BglTrmS3UfI,https://www.youtube.com/shorts/BglTrmS3UfI,11.82,Multiple-choice Question with a Single Correct Answer,Element Attributes,What are the characteristics of the dancer's legs?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both legs are powerful and strong.,Both legs are agile and quick.,"The left leg is disabled, and the right leg is healthy.","The right leg is disabled, and the left leg is healthy.",None of the above
0456-7,#NAME?,https://www.youtube.com/shorts/-Tf9VMl4krk,,Multiple-choice Question with a Single Correct Answer,Element Counting,How many nails did the man use in the experiment?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",2,10,14,6,None of the above
0463-7,aoE98e_FlYQ,https://youtube.com/shorts/aoE98e_FlYQ,33.07,Multiple-choice Question with a Single Correct Answer,Event Localization,When does the counter start counting?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The third throw,The second throw .,The fourth throw,The first throw,None of the above
0466-7,_TrCxTyakH0,https://www.youtube.com/shorts/_TrCxTyakH0,20.52,Multiple-choice Question with a Single Correct Answer,Event Counting,How many optical illusion images are shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",5,6,4,7,None of the above
0468-7,Se8JkJUt7YE,https://www.youtube.com/shorts/Se8JkJUt7YE,24.98,Multiple-choice Question with a Single Correct Answer,Element Localization,Which person in the video successfully walked down the stairs?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The first person,The second person,None of them,Both persons,None of the above
0494-7,RBz8pTO0ySw,https://www.youtube.com/shorts/RBz8pTO0ySw,15.85,Multiple-choice Question with a Single Correct Answer,Element Counting,How many kinds of scissors were used in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Four,One,Two,None of the above
