qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url
0320-2,1edFyMQdMHA,Correctly-led Open-ended Question,Event Localization,Does the last person in the video stand on a pole to jump onto the tireï¼Ÿ,18.07,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1edFyMQdMHA
0321-2,shh15L-O8KE,Correctly-led Open-ended Question,Plot Attribute,Are the people in the group filming a video with a hand gesture choreography?,15.14,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/shh15L-O8KE
0325-2,gmMnqrmYNFU,Correctly-led Open-ended Question,Event Counting,Is it true that the rider flipped and jumped eight times while crossing the obstacles?,36.41,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/gmMnqrmYNFU
0334-2,VoyvvpcrUgo,Correctly-led Open-ended Question,Event Localization,Is the scene with the pencil erasing the road a digitally created image?,14.98,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/VoyvvpcrUgo
0340-2,XK7kH7pxTcE,Correctly-led Open-ended Question,Element Counting,Is it true that there are four drainage channels visible in the video?,59.37,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/XK7kH7pxTcE
0357-2,ZQQ6XGuLtyU,Correctly-led Open-ended Question,Character Emotion Attribute,Did the man in the white T-shirt smile wryly and look disappointed as he took out his things?,44.44,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/ZQQ6XGuLtyU
0358-2,vln9tIS2yWg,Correctly-led Open-ended Question,Objective Causality,Did the woman in white avoid falling on the trampoline because the man behind her didn't push her?,19.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/vln9tIS2yWg
0368-2,XeUbzTntoW0,Correctly-led Open-ended Question,Event Counting,Did the man show ten scenarios between the adult and the toddler?,59.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/XeUbzTntoW0
0370-2,IuGYdIRjKlI,Correctly-led Open-ended Question,Element Counting,Are there four girls holding swords at the beginning of the video?,16.88,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/IuGYdIRjKlI
0372-2,kFAs3nZoKps,Correctly-led Open-ended Question,Local Event Attribute,Does the girl pretend to dunk the basketball by hanging on the basket at the end of the video?,18.09,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/kFAs3nZoKps
0374-2,DdJG14Fc4Tw,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Did the magic trick in the first part of the video involve using a balloon and an extra knot?,48.45,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/DdJG14Fc4Tw
0377-2,Jh-E3fZYRJ4,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the hand on the woman's shoulder in the second part of the video from the man behind her?,33.34,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Jh-E3fZYRJ4
0410-2,ZQQ6XGuLtyU,Correctly-led Open-ended Question,Event Localization,"After the sixth cotton candy dissolves, does the man find nothing in the bowl?",44.44,Please state your answer with a brief explanation.,,https://youtube.com/shorts/ZQQ6XGuLtyU
0416-2,b7h58LOBMcE,Correctly-led Open-ended Question,Character Reaction Causality,Was the man surprised because the ball he placed under the cup disappeared?,26.77,Please state your answer with a brief explanation.,,https://youtube.com/shorts/b7h58LOBMcE
0417-2,KwKJ6gtOGpQ,Correctly-led Open-ended Question,Character Reaction Causality,Is the person on the left trying not to laugh because of the seriousness of the occasion?,6.62,Please state your answer with a brief explanation.,,https://youtube.com/shorts/KwKJ6gtOGpQ
0420-2,CsIEwEA0fQs,Correctly-led Open-ended Question,Plot Attribute,Did the cat win the game by choosing the hand that held the object?,15.04,Please state your answer with a brief explanation.,,https://youtube.com/shorts/CsIEwEA0fQs
0427-2,c0YNnrHBARc,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Did the man use video editing to create the illusion of taking out a whole watermelon?,28.99,Please state your answer with a brief explanation.,,https://youtube.com/shorts/c0YNnrHBARc
0430-2,ZGcot5Kgock,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Was the phone's damage just a result of video editing effects?,42.26,Please state your answer with a brief explanation.,,https://youtube.com/shorts/ZGcot5Kgock
0432-2,YRgXg-FY49o,Correctly-led Open-ended Question,Event Localization,Are the last few targets in the video bullet casings thrown by the man?,16.6,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/YRgXg-FY49o
0435-2,niZZ5bP5Zvs,Correctly-led Open-ended Question,Event Localization,Did the man's first sword swing hit the target made of bundled straw mats?,10.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/niZZ5bP5Zvs
0439-2,L4pEorJZ1a0,Correctly-led Open-ended Question,Element Attributes,Does the man light a pile of thin candles in the video?,29.53,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/L4pEorJZ1a0
0441-2,3Ts9BX6AKuU,Correctly-led Open-ended Question,Local Event Attribute,Is the muscular man actually running or is he staying in the same spot?,12.2,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/3Ts9BX6AKuU
0452-2,BglTrmS3UfI,Correctly-led Open-ended Question,Element Attributes,Is the dancer's left leg disabled while the right leg is healthy?,11.82,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/BglTrmS3UfI
0456-2,#NAME?,Correctly-led Open-ended Question,Element Counting,"Did the man use six nails in the experiment, placing three in each cup?",,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/-Tf9VMl4krk
0463-2,aoE98e_FlYQ,Correctly-led Open-ended Question,Event Localization,Does the counter start counting from the second throw made by the man?,33.07,Please state your answer with a brief explanation.,,https://youtube.com/shorts/aoE98e_FlYQ
0466-2,_TrCxTyakH0,Correctly-led Open-ended Question,Event Counting,Does the video contain 6 images that are related to optical illusions?,20.52,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_TrCxTyakH0
0468-2,Se8JkJUt7YE,Correctly-led Open-ended Question,Element Localization,"Did the second person manage to successfully walk down the stairs despite the whirlpool effect?
",24.98,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Se8JkJUt7YE
0494-2,RBz8pTO0ySw,Correctly-led Open-ended Question,Element Counting,Were two kinds of scissors used in the video?,15.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/RBz8pTO0ySw
0500-2,nBaWVmaLh1A,Correctly-led Open-ended Question,Element Counting,Are there three ping-pong balls featured in the video?,33.11,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/nBaWVmaLh1A
0501-2,fyq0pd_pFvE,Correctly-led Open-ended Question,Element Counting,Does the man in purple have 5 soup dumplings on his plate?,46.87,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/fyq0pd_pFvE
0512-2,FkNdEfxYYc4,Correctly-led Open-ended Question,Element Counting,Did the ping-pong ball hit seven pots at the beginning of the video?,48.09,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FkNdEfxYYc4
0520-2,SdvMPe6XF7w,Correctly-led Open-ended Question,Plot Attribute,"Do the letters 'I,' 'V,' and 'W' need only one person each to form in the video?",57.89,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/SdvMPe6XF7w
0522-2,rujdEa3MVYo,Correctly-led Open-ended Question,Element Counting,Are there two men in hats shown in the video?,60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/rujdEa3MVYo
0525-2,Ai4fCLMGL9Y,Correctly-led Open-ended Question,Element Counting,Does the person not in the wheelchair have only one leg?,28.5,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Ai4fCLMGL9Y
0526-2,Z5jKO_Qql30,Correctly-led Open-ended Question,Element Counting,Is the man holding two lighters in his hands in the second video?,34.6,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z5jKO_Qql30
0530-2,yzlFm0LpRpM,Correctly-led Open-ended Question,Positional Relationship,Did the man in blue kick the middle ball in the fifth scene?,33.56,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/yzlFm0LpRpM
0539-2,HXeyvC8MeBU,Correctly-led Open-ended Question,Element Counting,Is it true that six people not in a car are scared by the masked person in the video?,60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/HXeyvC8MeBU
0541-2,zb6Bnsm3_zo,Correctly-led Open-ended Question,Element Counting,Are there consistently 10 teeth visible in the video from start to finish?,11.17,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/zb6Bnsm3_zo
0542-2,5mFcSiUxAus,Correctly-led Open-ended Question,Plot Attribute (Montage),"Is the scene where the person is sitting under a waterfall, appearing to meditate, used as a metaphor for time passing while the bread cooks?",59.99,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/5mFcSiUxAus
0548-2,m8tfdmm3g2A,Correctly-led Open-ended Question,Element Localization,Did the man clip cucumber with the car window after the sausage?,58.58,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/m8tfdmm3g2A
0551-2,HsXS1Qt11cU,Correctly-led Open-ended Question,Element Attributes,"In the scene with the kneeling woman, is the switch in two different positions?",17.62,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/HsXS1Qt11cU
0552-2,lAmfy5J8iEA,Correctly-led Open-ended Question,Element Counting,Is the person in the kitchen carrying three pairs of sliced bread on the plate?,59.76,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/lAmfy5J8iEA
0561-2,PPLTAZ2pBK0,Correctly-led Open-ended Question,Event Counting,Does the man's watch appear 7 times in the video?,21.48,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/PPLTAZ2pBK0
0566-2,jyXFmTycx_k,Correctly-led Open-ended Question,Plot Attribute (Montage),Do the scenes with the broken pot of plant symbolize the mess and the ineffective cleaning process of using rolled toilet paper?,60.65,Please state your answer with a brief explanation.,,https://www.youtube.com/watch?v=jyXFmTycx_k
0567-2,trYIAMCLeOs,Correctly-led Open-ended Question,Element Localization,Is the third person in the video the one with long black hair?,56.94,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/trYIAMCLeOs
0571-2,ragJEXeqcbE,Correctly-led Open-ended Question,Positional Relationship,Is the man's ring worn on the middle finger of his left hand in the video?,50.11,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/ragJEXeqcbE
0575-2,xW8pfZ5WpNQ,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is one of the items on the little girl's feet a phone with a pink slipper case?,15.57,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/xW8pfZ5WpNQ
0576-2,3bisVkxCA0c,Correctly-led Open-ended Question,Element Localization,Is the GEN-Z girl the one using a belt in the video?,13.25,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/3bisVkxCA0c
0578-2,_hkdNurB1Fk,Correctly-led Open-ended Question,Element Counting,Are there eight people visible in the video?,58.09,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_hkdNurB1Fk
0580-2,85l_AvYt-XE,Correctly-led Open-ended Question,Event Counting,Did the girl run four steps before she reached the top?,10.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/85l_AvYt-XE
0588-2,y5lL-l01ujA,Correctly-led Open-ended Question,Element Counting,Can you confirm that the desk with the globe has five drawers?,18.71,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/y5lL-l01ujA
0589-2,CltBandLYjM,Correctly-led Open-ended Question,Event Localization,Was half of the chocolate still uneaten at the six-hour mark in the video?,40.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/CltBandLYjM
0590-2,bbiCkBWaOL8,Correctly-led Open-ended Question,Character Reaction Causality,Did the man in the black jacket scream because someone put a spider toy in his face?,59.3,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/bbiCkBWaOL8
0595-2,7tVlEGngX0s,Correctly-led Open-ended Question,Element Localization,"Did the boy score with a blue exercise ball, a soccer ball, and a tennis ball in the video?",28.84,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7tVlEGngX0s
0597-2,c4LTFnR3F0w,Correctly-led Open-ended Question,Element Localization,Is the person holding the camera in the video wearing a light gray jacket and white sneakers?,59.93,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/c4LTFnR3F0w
0600-2,UuJQx4Z8zG4,Correctly-led Open-ended Question,Positional Relationship,Did the orange ball hit the boy on his head?,28.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/UuJQx4Z8zG4
0603-2,mgULlk8dagE,Correctly-led Open-ended Question,Element Localization,Is the person who failed twice in a row and lost the heart-shaped pattern wearing a blue shirt and dark blue pants?,46.36,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/mgULlk8dagE
0607-2,7pTwqG9VM7o,Correctly-led Open-ended Question,Event Localization,"Is the man in the video standing on the ground, which is made to look like a ceiling?",26.94,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7pTwqG9VM7o
0609-2,MlPYPW1_a0U,Correctly-led Open-ended Question,Plot Attribute,Is the elimination based on whether participants move their hands while the ball is still held?,17.47,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MlPYPW1_a0U
0610-2,Ldcs4Venq1Q,Correctly-led Open-ended Question,Character Motivation Causality,Did the woman throw the package out of the window so the two men could help her put it in the mailbox?,57.24,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Ldcs4Venq1Q
0612-2,qUCG8W5hMdw,Correctly-led Open-ended Question,Character Motivation Causality,Is the purpose of dividing the paper to compare $0 pencils using non-traditional tools with $300 pencils?,58.56,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/qUCG8W5hMdw
0614-2,JOd2FBcirwk,Correctly-led Open-ended Question,Character Motivation Causality,"Is the man pretending to have a disability to see if anyone will help him, causing his hands to tremble?",60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/JOd2FBcirwk
0616-2,PN2XQBfWV2M,Correctly-led Open-ended Question,Local Event Attribute,Is the white ball the first to reach the finish line in the video?,29.68,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/PN2XQBfWV2M
0620-2,7pTwqG9VM7o,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),"Is the man in the video standing on the ground, which is made to look like a ceiling?",26.94,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7pTwqG9VM7o
0621-2,9SzIZz1CDcc,Correctly-led Open-ended Question,Positional Relationship,Is the left foot the first one to lean against the wall in the video?,7.96,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/9SzIZz1CDcc
0625-2,yQ2YZQhvc2c,Correctly-led Open-ended Question,Displacement Attribute,Does the second ball move back and forth along a horizontal groove?,24.03,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/yQ2YZQhvc2c
0627-2,pUIkzB8KebU,Correctly-led Open-ended Question,Displacement Attribute,Is it this photographer moving in the video to change the position of the other person?,15.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/pUIkzB8KebU
0633-2,jI5XO3aa5_g,Correctly-led Open-ended Question,Displacement Attribute,Do the wheels of the black car turn forward at the end of the video?,20.03,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/jI5XO3aa5_g
0643-2,KwKJ6gtOGpQ,Correctly-led Open-ended Question,Displacement Attribute,Is the wind blowing from the left to the right side of the screen in the video?,6.62,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KwKJ6gtOGpQ
0645-2,7mm85XogfLw,Correctly-led Open-ended Question,Positional Relationship,Does the left end of the scarf remain on the left side of the student character's body at the end of the video?,12.78,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7mm85XogfLw
0652-2,o77rfiYxaz8,Correctly-led Open-ended Question,Displacement Attribute,Did the car end up in the innermost lane facing the correct direction after the spin?,12.5,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/o77rfiYxaz8
0655-2,tc_u7WlfrfU,Correctly-led Open-ended Question,Event Duration & Speed Attribute,Is the camera moving faster than the truck in the video?,10.33,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/tc_u7WlfrfU
0658-2,i1ki36EMLp8,Correctly-led Open-ended Question,Event Duration & Speed Attribute,Is the rider in the black outfit the faster one during the race?,19.8,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/i1ki36EMLp8
0664-2,v02xe4_I5uY,Correctly-led Open-ended Question,Event Counting,Did the woman roll the dice 9 times during the game?,56.26,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/v02xe4_I5uY
0667-2,oI--S1dz9EM,Correctly-led Open-ended Question,Event Counting,Are there six people participating in the challenge in the video?,45.42,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/oI--S1dz9EM
0670-2,CCmVxAlwuo0,Correctly-led Open-ended Question,Event Counting,Is it true that only two children jumped into the water in the video?,43.07,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/CCmVxAlwuo0
