qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url
0146-3,eU5I-p1HcUs,Wrongly-led Open-ended Question,Event Counting,"Does the car in the video change color three times, starting with blue?",24.45,Please state your answer with a brief explanation.,,https://youtube.com/shorts/eU5I-p1HcUs
0151-3,lfitOyblkDQ,Wrongly-led Open-ended Question,Element Localization,Is the person holding a potato wearing a light pink hoodie and a black cap?,59.71,Please state your answer with a brief explanation.,,https://youtube.com/shorts/lfitOyblkDQ
0152-3,4ocqfNvvI_w,Wrongly-led Open-ended Question,Element Attributes,Is the tool used to fix the pages in the video a rubber band?,32.81,Please state your answer with a brief explanation.,,https://youtube.com/shorts/4ocqfNvvI_w
0154-3,PH3yeSEgiGE,Wrongly-led Open-ended Question,Positional Relationship,Does the man hand the white cutting board to the child using his right hand?,30.12,Please state your answer with a brief explanation.,,https://youtube.com/shorts/PH3yeSEgiGE
0162-3,mLbuK7IU7_Y,Wrongly-led Open-ended Question,Event Counting,Does the golfer manage to hit the target 10 times in the video?,17.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/mLbuK7IU7_Y
0167-3,C2JNR1EVPyM,Wrongly-led Open-ended Question,Character Reaction Causality,Is a woman surprised that a man has managed to break a pencil with his hand?,9.64,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/C2JNR1EVPyM
0169-3,fk5kAJj5io0,Wrongly-led Open-ended Question,Event Counting,Does the woman pour juice into the mold three times in the video?,33.44,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/fk5kAJj5io0
0179-3,boEKlG35qHM,Wrongly-led Open-ended Question,Event Counting,Does the person cut the stem a total of 10 times?,15.62,Please state your answer with a brief explanation.,,https://youtube.com/shorts/boEKlG35qHM
0198-3,j3cE7hoF5aI,Wrongly-led Open-ended Question,Element Counting,Does the video include a photo of 'old me' reading a book at a desk twice?,20.99,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/j3cE7hoF5aI
0217-3,C9yerI1NK7M,Wrongly-led Open-ended Question,Event Duration & Speed Attribute,Did the time lapse of the capillary action demonstration last precisely 2 hours as indicated by the clock in the video?,15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/C9yerI1NK7M
0242-3,tyz-WC0YVco,Wrongly-led Open-ended Question,Character Reaction Causality,Did the two orange cats jump away because they were frightened by a toy snake?,60.05,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/tyz-WC0YVco
0248-3,jfE_el65Sv0,Wrongly-led Open-ended Question,Local Event Attribute,"Is the person in the foreground under running water, as suggested by the water droplets on their face?",12.16,Please state your answer with a brief explanation.,,https://youtube.com/shorts/jfE_el65Sv0
0251-3,#NAME?,Wrongly-led Open-ended Question,Objective Causality,"Did the ball fall off the disc because the disc was tilted, causing it to roll off due to gravity?",,Please state your answer with a brief explanation.,,https://youtube.com/shorts/-HAFFvsDCr4
0256-3,uPIpFgh_DPU,Wrongly-led Open-ended Question,Event Counting,Does the ping-pong ball bounce 15 times on the ground as it descends the stairs?,15.35,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uPIpFgh_DPU
0259-3,rVfKtPLVaLw,Wrongly-led Open-ended Question,Positional Relationship,Did the man use his right hand to throw away his hat?,12.52,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/rVfKtPLVaLw
0266-3,9yC-paTJvkE,Wrongly-led Open-ended Question,Positional Relationship,Is the yellow rubber band fully looped around the right thumb?,19.03,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/9yC-paTJvkE
0267-3,Drp2PBktp7U,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person in the video jumping or leaping in the air?,16.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Drp2PBktp7U
0273-3,zn3MNXMIdDk,Wrongly-led Open-ended Question,Element Attributes,Is the top color of the solved Rubik's Cube yellow?,11.82,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/zn3MNXMIdDk
0274-3,GYTGrhKbo0g,Wrongly-led Open-ended Question,Element Counting,"Is the total number of people in the video six, based on the visible individuals in the frames?",22.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/GYTGrhKbo0g
0276-3,PZad6gF_4Kk,Wrongly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Is the illusion created solely through skillful drawing and perspective without any video editing?,14.98,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/PZad6gF_4Kk
0278-3,JsAcQsidyIA,Wrongly-led Open-ended Question,Element Attributes,Is the writing on the paper in the video red?,46.23,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/JsAcQsidyIA
0288-3,CiUsdzLLbuE,Wrongly-led Open-ended Question,Plot Attribute,Is the lighter silver steel knife the one that is not easy to use?,60.05,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/CiUsdzLLbuE
0291-3,#NAME?,Wrongly-led Open-ended Question,Professional Knowledge,Was the rotational movement of the metal rod caused solely by the interaction between the electric field and the metal rod?,,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/-M7VdrQpWps
0292-3,Kv7s88uX0ek,Wrongly-led Open-ended Question,Element Counting,"Are there two vehicles following the bus, as seen by two sets of headlights?",10.65,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Kv7s88uX0ek
0295-3,uXbIuOImCmM,Wrongly-led Open-ended Question,Event Counting,Did the person with the yellow bag try three methods to pour the contents?,26.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uXbIuOImCmM
0296-3,uAzw77AjDyc,Wrongly-led Open-ended Question,Objective Causality,Is the reason the man doesn't catch the blue pants on his first attempt because they are a painted object?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uAzw77AjDyc
0303-3,c1gl0Qahgdw,Wrongly-led Open-ended Question,Local Event Attribute,Does the man stop cycling by dismounting and walking away?,14.76,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/c1gl0Qahgdw
0304-3,bc-OoJrrMuk,Wrongly-led Open-ended Question,Element Counting,Does the person initially write on just one layer of paper?,15.72,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/bc-OoJrrMuk
0308-3,R0f1qMFBemA,Wrongly-led Open-ended Question,Local Event Attribute,Is the first military aircraft taking off from the aircraft carrier?,60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/R0f1qMFBemA
0313-3,0pWDMjpDKKQ,Wrongly-led Open-ended Question,Element Counting,Do the products occupy 10 compartments on the shelf at the end of the video?,19.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/0pWDMjpDKKQ
0319-3,NqMmfmsclrE,Wrongly-led Open-ended Question,Positional Relationship,Does the ball end up at position A at the end of the video?,8.75,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/NqMmfmsclrE
0320-3,1edFyMQdMHA,Wrongly-led Open-ended Question,Event Localization,Does the last person perform a parkour move to jump over a fence?,18.07,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1edFyMQdMHA
0321-3,shh15L-O8KE,Wrongly-led Open-ended Question,Plot Attribute,"Are the people in the group playing a game of rock, paper, scissors?",15.14,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/shh15L-O8KE
0325-3,gmMnqrmYNFU,Wrongly-led Open-ended Question,Event Counting,Did the rider flip and jump only three times while crossing the obstacles?,36.41,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/gmMnqrmYNFU
0334-3,VoyvvpcrUgo,Wrongly-led Open-ended Question,Event Localization,Is the scene in the seventh part of the video not real?,14.98,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/VoyvvpcrUgo
0340-3,XK7kH7pxTcE,Wrongly-led Open-ended Question,Element Counting,Are there five drainage channels shown in the video?,59.37,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/XK7kH7pxTcE
0357-3,ZQQ6XGuLtyU,Wrongly-led Open-ended Question,Character Emotion Attribute,Did the man in the white T-shirt feel satisfied and happy when he took out his things?,44.44,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/ZQQ6XGuLtyU
0358-3,vln9tIS2yWg,Wrongly-led Open-ended Question,Objective Causality,Did the woman in white avoid falling on the trampoline because she jumped off herself?,19.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/vln9tIS2yWg
0368-3,XeUbzTntoW0,Wrongly-led Open-ended Question,Event Counting,Did the man show six scenarios between the adult and the toddler?,59.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/XeUbzTntoW0
0370-3,IuGYdIRjKlI,Wrongly-led Open-ended Question,Element Counting,Are there only three girls holding swords at the beginning of the video?,16.88,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/IuGYdIRjKlI
0372-3,kFAs3nZoKps,Wrongly-led Open-ended Question,Local Event Attribute,Does the girl actually dunk the basketball into the hoop at the end of the video?,18.09,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/kFAs3nZoKps
0374-3,DdJG14Fc4Tw,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Was the magic trick in the first part of the video performed by inserting or removing an object from the balloon?,48.45,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/DdJG14Fc4Tw
0377-3,Jh-E3fZYRJ4,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the hand on the woman's shoulder in the second part of the video from the person sitting next to her?,33.34,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Jh-E3fZYRJ4
0410-3,ZQQ6XGuLtyU,Wrongly-led Open-ended Question,Event Localization,"After the sixth cotton candy dissolves, is a phone revealed in the bowl?",44.44,Please state your answer with a brief explanation.,,https://youtube.com/shorts/ZQQ6XGuLtyU
0416-3,b7h58LOBMcE,Wrongly-led Open-ended Question,Character Reaction Causality,Was the man surprised because the egg he showed under the cup disappeared and reappeared in unexpected places?,26.77,Please state your answer with a brief explanation.,,https://youtube.com/shorts/b7h58LOBMcE
0417-3,KwKJ6gtOGpQ,Wrongly-led Open-ended Question,Character Reaction Causality,Is the person on the left trying not to laugh because their problem is unresolved?,6.62,Please state your answer with a brief explanation.,,https://youtube.com/shorts/KwKJ6gtOGpQ
0420-3,CsIEwEA0fQs,Wrongly-led Open-ended Question,Plot Attribute,Did the cat lose the game because it chose the wrong hand?,15.04,Please state your answer with a brief explanation.,,https://youtube.com/shorts/CsIEwEA0fQs
0427-3,c0YNnrHBARc,Wrongly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Did the man achieve the trick by hollowing out a watermelon rind and placing a peeled watermelon inside?,28.99,Please state your answer with a brief explanation.,,https://youtube.com/shorts/c0YNnrHBARc
0430-3,ZGcot5Kgock,Wrongly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Did the phone get damaged because it was overcharged with a hand-crank charger?,42.26,Please state your answer with a brief explanation.,,https://youtube.com/shorts/ZGcot5Kgock
0432-3,YRgXg-FY49o,Wrongly-led Open-ended Question,Event Localization,Were the last targets in the video thrown by someone next to the shooter?,16.6,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/YRgXg-FY49o
0435-3,niZZ5bP5Zvs,Wrongly-led Open-ended Question,Event Localization,Did the man's sword cut through each section of the straw mat target with every swing?,10.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/niZZ5bP5Zvs
0439-3,L4pEorJZ1a0,Wrongly-led Open-ended Question,Element Attributes,Does the man light a small object that looks like a stack of matches?,29.53,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/L4pEorJZ1a0
0441-3,3Ts9BX6AKuU,Wrongly-led Open-ended Question,Local Event Attribute,Does the muscular man's running style involve high knee lifts and a pronounced forward thrust?,12.2,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/3Ts9BX6AKuU
0452-3,BglTrmS3UfI,Wrongly-led Open-ended Question,Element Attributes,"Does the dancer's left leg show agility and quick movements, while the right leg shows power and strength?",11.82,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/BglTrmS3UfI
0456-3,#NAME?,Wrongly-led Open-ended Question,Element Counting,"Did the man use 14 nails in the experiment, with seven in each mug?",,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/-Tf9VMl4krk
0463-3,aoE98e_FlYQ,Wrongly-led Open-ended Question,Event Localization,Does the counter start counting from the throw where the first successful basket is made?,33.07,Please state your answer with a brief explanation.,,https://youtube.com/shorts/aoE98e_FlYQ
0466-3,_TrCxTyakH0,Wrongly-led Open-ended Question,Event Counting,Are there 5 optical illusion images shown in the video?,20.52,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_TrCxTyakH0
0468-3,Se8JkJUt7YE,Wrongly-led Open-ended Question,Element Localization,"Was the first person able to successfully walk down the stairs despite almost falling?
",24.98,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Se8JkJUt7YE
0494-3,RBz8pTO0ySw,Wrongly-led Open-ended Question,Element Counting,Were three kinds of scissors used throughout the video?,15.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/RBz8pTO0ySw
0500-3,nBaWVmaLh1A,Wrongly-led Open-ended Question,Element Counting,Are there four ping-pong balls in the video?,33.11,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/nBaWVmaLh1A
0501-3,fyq0pd_pFvE,Wrongly-led Open-ended Question,Element Counting,Does the man in purple have 6 dumplings on his plate?,46.87,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/fyq0pd_pFvE
0512-3,FkNdEfxYYc4,Wrongly-led Open-ended Question,Element Counting,Did the ping-pong ball hit only two pots at the beginning of the video?,48.09,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FkNdEfxYYc4
0520-3,SdvMPe6XF7w,Wrongly-led Open-ended Question,Plot Attribute,Is the letter 'i' the only one that needs the minimum number of people to form?,57.89,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/SdvMPe6XF7w
0522-3,rujdEa3MVYo,Wrongly-led Open-ended Question,Element Counting,Are there three men in hats shown in the video?,60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/rujdEa3MVYo
0525-3,Ai4fCLMGL9Y,Wrongly-led Open-ended Question,Element Counting,Is it true that the person not in the wheelchair has two legs?,28.5,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Ai4fCLMGL9Y
0526-3,Z5jKO_Qql30,Wrongly-led Open-ended Question,Element Counting,Is the man holding three lighters in his hands in the second video?,34.6,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z5jKO_Qql30
0530-3,yzlFm0LpRpM,Wrongly-led Open-ended Question,Positional Relationship,Did the man in blue kick the top ball in the fifth scene?,33.56,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/yzlFm0LpRpM
0539-3,HXeyvC8MeBU,Wrongly-led Open-ended Question,Element Counting,Is it true that only four people not in a car are scared by the masked person in the video?,60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/HXeyvC8MeBU
0541-3,zb6Bnsm3_zo,Wrongly-led Open-ended Question,Element Counting,Does the number of visible teeth decrease to none as the water level rises in the video?,11.17,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/zb6Bnsm3_zo
0542-3,5mFcSiUxAus,Wrongly-led Open-ended Question,Plot Attribute (Montage),Is the scene where the person is bathing under a waterfall used as a metaphor for the passage of time during the bread's cooking?,59.99,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/5mFcSiUxAus
0548-3,m8tfdmm3g2A,Wrongly-led Open-ended Question,Element Localization,Does the man clip a carrot as the second item with the car window?,58.58,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/m8tfdmm3g2A
0551-3,HsXS1Qt11cU,Wrongly-led Open-ended Question,Element Attributes,Are both switches on the wall in the scene with the woman kneeling in the same position?,17.62,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/HsXS1Qt11cU
0552-3,lAmfy5J8iEA,Wrongly-led Open-ended Question,Element Counting,Is the person in the kitchen carrying four slices of bread on the plate?,59.76,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/lAmfy5J8iEA
0561-3,PPLTAZ2pBK0,Wrongly-led Open-ended Question,Event Counting,Does the man's watch appear 10 times in the video?,21.48,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/PPLTAZ2pBK0
0566-3,jyXFmTycx_k,Wrongly-led Open-ended Question,Plot Attribute (Montage),Do the scenes with the broken pot of plant highlight the effectiveness of Neve toilet paper and wipes in cleaning up messes?,60.65,Please state your answer with a brief explanation.,,https://www.youtube.com/watch?v=jyXFmTycx_k
0567-3,trYIAMCLeOs,Wrongly-led Open-ended Question,Element Localization,Is the third person in the video the one with blonde hair and dark roots?,56.94,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/trYIAMCLeOs
0571-3,ragJEXeqcbE,Wrongly-led Open-ended Question,Positional Relationship,Is the man's ring worn on the ring finger of his right hand in the video?,50.11,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/ragJEXeqcbE
0575-3,xW8pfZ5WpNQ,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Are both items on the little girl's feet pink flip-flops?,15.57,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/xW8pfZ5WpNQ
0576-3,3bisVkxCA0c,Wrongly-led Open-ended Question,Element Localization,Is the millennial girl the one using a belt in the video?,13.25,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/3bisVkxCA0c
0578-3,_hkdNurB1Fk,Wrongly-led Open-ended Question,Element Counting,Could there be at least ten people in the video?,58.09,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_hkdNurB1Fk
0580-3,85l_AvYt-XE,Wrongly-led Open-ended Question,Event Counting,Did the girl run five steps before she reached the top?,10.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/85l_AvYt-XE
0588-3,y5lL-l01ujA,Wrongly-led Open-ended Question,Element Counting,Is it true that the desk with the globe has four drawers?,18.71,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/y5lL-l01ujA
0589-3,CltBandLYjM,Wrongly-led Open-ended Question,Event Localization,Did the video show that it took 12 hours for the person to finish the chocolate?,40.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/CltBandLYjM
0590-3,bbiCkBWaOL8,Wrongly-led Open-ended Question,Character Reaction Causality,Did the man in the black jacket scream because he stepped on a spider?,59.3,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/bbiCkBWaOL8
0595-3,7tVlEGngX0s,Wrongly-led Open-ended Question,Element Localization,"Did the boy score with a basketball, a volleyball, and a baseball in the video?",28.84,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7tVlEGngX0s
0597-3,c4LTFnR3F0w,Wrongly-led Open-ended Question,Element Localization,Is the person holding the camera in the video wearing a white t-shirt and black sneakers?,59.93,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/c4LTFnR3F0w
0600-3,UuJQx4Z8zG4,Wrongly-led Open-ended Question,Positional Relationship,Did the orange ball hit the boy on his back?,28.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/UuJQx4Z8zG4
0603-3,mgULlk8dagE,Wrongly-led Open-ended Question,Element Localization,Is the person who failed twice in a row and lost the heart-shaped pattern wearing a red shirt with a white 'm' logo and standing in a pink hula hoop?,46.36,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/mgULlk8dagE
0607-3,7pTwqG9VM7o,Wrongly-led Open-ended Question,Event Localization,Is the man in the video standing on the ceiling using equipment attached to his feet?,26.94,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7pTwqG9VM7o
0609-3,MlPYPW1_a0U,Wrongly-led Open-ended Question,Plot Attribute,Is the elimination determined by who is holding the ball when it stops?,17.47,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MlPYPW1_a0U
0610-3,Ldcs4Venq1Q,Wrongly-led Open-ended Question,Character Motivation Causality,Was the woman trying to quickly get rid of the package by throwing it out of the window?,57.24,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Ldcs4Venq1Q
0612-3,qUCG8W5hMdw,Wrongly-led Open-ended Question,Character Motivation Causality,Is the reason for dividing the paper simply to compare $0 pencils with $300 pencils without any specific drawing tools?,58.56,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/qUCG8W5hMdw
0614-3,JOd2FBcirwk,Wrongly-led Open-ended Question,Character Motivation Causality,Could the man's trembling hands be due to nervousness or excitement?,60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/JOd2FBcirwk
0616-3,PN2XQBfWV2M,Wrongly-led Open-ended Question,Local Event Attribute,Does the blue ball reach the finish line first in the video?,29.68,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/PN2XQBfWV2M
0620-3,7pTwqG9VM7o,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the man in the video standing on the ceiling using equipment attached to his feet?,26.94,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7pTwqG9VM7o
0621-3,9SzIZz1CDcc,Wrongly-led Open-ended Question,Positional Relationship,Is the right foot the first one to lean against the wall in the video?,7.96,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/9SzIZz1CDcc
0625-3,yQ2YZQhvc2c,Wrongly-led Open-ended Question,Displacement Attribute,"Does the second ball follow a circular path, moving in a loop?",24.03,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/yQ2YZQhvc2c
0627-3,pUIkzB8KebU,Wrongly-led Open-ended Question,Displacement Attribute,Is it the woman in the video who moves to change the position of the other person?,15.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/pUIkzB8KebU
0633-3,jI5XO3aa5_g,Wrongly-led Open-ended Question,Displacement Attribute,Are the wheels of the black car turning in reverse at the end of the video?,20.03,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/jI5XO3aa5_g
0643-3,KwKJ6gtOGpQ,Wrongly-led Open-ended Question,Displacement Attribute,Does the video show the wind blowing from the right side of the screen to the left?,6.62,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KwKJ6gtOGpQ
0645-3,7mm85XogfLw,Wrongly-led Open-ended Question,Positional Relationship,Is the left end of the scarf on the right side of the student character's body at the end of the video?,12.78,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7mm85XogfLw
0652-3,o77rfiYxaz8,Wrongly-led Open-ended Question,Displacement Attribute,Did the car end up facing the opposite direction on the highway after the spin?,12.5,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/o77rfiYxaz8
0655-3,tc_u7WlfrfU,Wrongly-led Open-ended Question,Event Duration & Speed Attribute,Is the truck moving faster than the camera in the video?,10.33,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/tc_u7WlfrfU
0658-3,i1ki36EMLp8,Wrongly-led Open-ended Question,Event Duration & Speed Attribute,Is the rider in the white outfit the faster one during the race?,19.8,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/i1ki36EMLp8
0664-3,v02xe4_I5uY,Wrongly-led Open-ended Question,Event Counting,Did the woman roll the dice 11 times as shown in the sequence?,56.26,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/v02xe4_I5uY
0667-3,oI--S1dz9EM,Wrongly-led Open-ended Question,Event Counting,Are there seven people participating in the challenge in the video?,45.42,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/oI--S1dz9EM
